carat,cut,color,clarity,depth,table,price,size
1.0,Fair,G,VS2,44.0,53.0,4032,162.222528
1.0,Very Good,I,SI1,60.4,63.0,4032,158.758236
1.2,Premium,H,SI2,59.8,58.0,4032,194.253396
0.9,Premium,H,VS2,61.6,58.0,4032,148.170444
1.01,Good,E,SI1,64.2,56.0,4032,159.837348
1.0,Premium,H,SI2,62.7,59.0,4032,159.07194499999997
1.0,Good,I,VVS2,57.4,59.0,4032,162.72564100000002
1.5,Premium,E,I1,61.5,58.0,4032,239.11200000000002
0.93,Very Good,I,VS1,62.6,59.0,4033,148.04298
0.91,Ideal,H,VS2,62.6,57.0,4033,150.25514
1.0,Very Good,F,SI2,63.4,55.0,4033,161.57987999999997
0.9,Very Good,E,SI1,60.1,58.0,4034,148.208125
0.9,Ideal,E,SI2,61.7,56.0,4034,149.66721
0.9,Ideal,E,SI1,60.1,56.0,4034,152.01899999999998
1.03,Ideal,E,SI1,58.9,56.0,4035,168.499476
1.0,Very Good,F,SI2,63.4,58.0,4036,156.96125
0.9,Ideal,G,SI1,62.4,55.0,4036,146.56372500000003
1.0,Fair,F,SI2,59.0,67.0,4036,157.83984
0.91,Premium,F,SI1,61.7,59.0,4036,146.365974
0.32,Very Good,I,VS2,63.2,56.0,576,52.034400000000005
0.32,Premium,I,VS2,62.8,58.0,576,51.657333
0.32,Ideal,I,VS2,63.0,57.0,576,51.846554000000005
0.32,Ideal,I,VS2,63.0,55.0,576,52.39465
0.32,Very Good,I,VS2,63.4,55.0,576,52.224996
0.32,Premium,H,SI1,61.9,59.0,576,52.538976000000005
0.32,Very Good,H,SI1,63.1,54.0,576,53.381224
0.32,Premium,H,SI1,61.3,60.0,576,51.839528
0.32,Premium,H,SI1,62.2,56.0,576,52.061888
0.32,Premium,H,SI1,61.9,58.0,576,51.32484
0.32,Very Good,H,SI1,63.1,55.0,576,52.155950000000004
0.32,Premium,E,SI2,61.2,58.0,576,52.62732000000001
0.32,Ideal,E,SI2,62.7,55.0,576,53.554487999999985
0.32,Premium,E,SI2,61.7,60.0,576,52.345817999999994
0.3,Premium,H,VS1,60.0,60.0,576,49.3812
0.25,Very Good,F,VVS2,62.0,59.0,576,40.13780400000001
0.25,Very Good,F,VVS1,60.7,59.0,576,41.38376
0.25,Premium,E,VVS1,60.7,60.0,576,41.856651
0.25,Ideal,E,VVS1,61.2,57.0,576,42.19209599999999
0.25,Premium,E,VVS2,61.5,59.0,576,40.277184
0.25,Premium,E,VVS2,62.5,59.0,576,41.028119999999994
0.25,Ideal,E,VVS2,62.1,57.0,576,41.43585600000001
0.25,Premium,E,VVS2,62.0,59.0,576,41.640480000000004
0.25,Premium,F,IF,61.1,58.0,576,41.81999999999999
0.25,Very Good,E,VVS1,62.9,59.0,576,40.420296
0.25,Premium,E,VVS2,62.5,59.0,576,40.926816
0.25,Good,E,VVS2,63.1,56.0,576,41.147999999999996
0.25,Ideal,E,VVS2,61.6,57.0,576,42.15456
0.25,Very Good,E,VVS1,62.9,58.0,576,40.88555899999999
0.36,Premium,F,SI1,60.2,58.0,576,59.20843999999999
1.04,Premium,J,SI1,60.2,56.0,4036,171.18842400000003
0.77,Premium,D,VS1,59.4,59.0,4037,126.948
0.92,Premium,F,SI1,61.8,59.0,4037,149.428125
0.92,Very Good,F,SI1,62.9,56.0,4037,151.27008
0.92,Very Good,F,SI1,62.7,57.0,4037,147.32316
1.0,Very Good,F,SI2,62.9,59.0,4037,159.21034799999998
1.02,Premium,H,SI1,59.1,60.0,4037,167.222568
1.01,Premium,G,SI2,61.8,58.0,4038,160.123176
1.01,Premium,G,SI2,62.1,61.0,4038,157.21021799999997
1.01,Premium,G,SI2,63.0,58.0,4038,158.716828
1.03,Premium,I,SI1,61.0,58.0,4038,167.050224
1.03,Fair,H,SI2,67.0,61.0,4038,160.42000000000002
1.01,Ideal,G,SI2,61.2,57.0,4038,161.8176
1.01,Premium,G,SI2,61.1,58.0,4038,158.74676999999997
1.01,Ideal,G,SI2,63.2,57.0,4038,158.612076
1.03,Premium,H,SI2,62.1,59.0,4038,166.1496
1.02,Very Good,H,SI2,60.9,58.0,4039,164.917762
1.02,Very Good,H,SI2,61.1,61.0,4039,167.473656
0.76,Ideal,E,VS2,62.1,55.0,4039,124.994688
0.77,Ideal,D,VS1,62.2,55.0,4039,125.55269999999999
0.92,Premium,H,VS1,61.7,62.0,4039,144.1872
1.13,Premium,E,SI2,59.4,62.0,4040,187.081896
0.74,Fair,D,VVS2,65.4,53.0,4040,122.366442
0.91,Very Good,D,SI1,63.1,61.0,4041,145.41912
1.05,Very Good,H,SI2,61.4,58.0,4042,173.423796
1.0,Very Good,H,SI2,62.5,58.0,4042,157.51494000000002
0.71,Ideal,E,VVS2,62.0,53.9,4042,118.031697
0.54,Ideal,D,VVS1,61.3,56.0,4042,88.750928
1.0,Good,I,SI1,65.6,56.0,4042,161.31339000000003
1.02,Premium,F,SI2,61.0,58.0,4043,167.989756
0.8,Ideal,F,VS2,60.9,57.0,4043,132.196272
0.8,Ideal,F,VS2,62.1,56.0,4043,131.20718
1.04,Premium,J,VS2,58.7,58.0,4043,172.20372
0.9,Ideal,H,VS2,62.4,56.0,4044,146.32694999999998
0.9,Premium,H,VS2,60.6,60.0,4044,149.38559999999998
1.01,Premium,E,SI2,60.6,58.0,4044,166.461454
1.01,Ideal,E,SI2,61.7,57.0,4044,168.22
0.9,Ideal,G,SI2,61.4,56.0,4044,146.92769700000002
1.02,Premium,D,SI2,61.3,62.0,4044,163.81914
1.01,Fair,H,VS1,66.1,55.0,4044,162.235008
1.02,Premium,D,SI2,62.3,58.0,4044,163.17264600000001
1.02,Ideal,G,SI1,62.4,56.0,4044,163.17264600000001
1.02,Ideal,D,SI2,62.5,57.0,4044,164.09359999999998
1.02,Fair,G,SI1,64.5,56.0,4044,158.56596000000002
1.2,Fair,G,SI2,65.5,59.0,4044,190.72954600000003
0.91,Premium,G,SI1,62.6,58.0,4045,145.85263
0.91,Very Good,G,SI1,62.8,58.0,4045,147.08709
0.91,Premium,G,SI1,62.2,59.0,4045,146.18304000000003
0.91,Premium,G,SI1,61.8,60.0,4045,146.986974
1.29,Very Good,G,SI2,63.2,54.0,4045,212.047536
1.09,Premium,J,SI1,62.3,59.0,4046,176.542805
0.79,Ideal,H,IF,61.3,56.0,4046,130.44532800000002
1.01,Very Good,I,SI2,63.7,56.0,4047,163.56087
0.9,Premium,F,SI1,62.3,58.0,4047,144.85672799999998
0.72,Ideal,D,VS1,61.7,56.0,4047,119.67960899999999
1.01,Good,G,SI2,59.2,65.0,4047,153.85923
1.01,Fair,G,SI2,58.3,62.0,4047,158.7222
1.09,Premium,G,SI2,60.7,57.0,4047,180.61478399999996
1.1,Ideal,H,VS2,62.6,57.0,4048,178.64979200000002
0.91,Very Good,F,SI1,62.3,60.0,4049,142.46352000000002
0.91,Ideal,G,SI1,61.8,57.0,4049,145.89344
1.01,Good,F,SI2,65.7,58.0,4049,153.6732
1.14,Very Good,F,I1,61.3,55.8,4050,188.172712
0.93,Premium,H,VS2,61.0,60.0,4050,150.414028
1.23,Good,D,I1,63.7,58.0,4050,196.20383999999999
0.91,Premium,D,SI2,61.5,56.0,4051,149.75769599999998
0.91,Premium,D,SI2,62.2,59.0,4051,148.855882
0.91,Premium,D,SI2,61.1,60.0,4051,150.32596800000002
1.01,Very Good,H,SI1,62.5,58.0,4052,163.5816
0.99,Good,F,SI2,63.3,54.0,4052,165.62394
0.9,Premium,G,VS2,62.8,60.0,4052,143.35180799999998
0.71,Ideal,E,VS1,61.1,57.0,4053,116.783744
0.71,Ideal,E,VS1,61.9,56.0,4053,115.61994
0.8,Ideal,E,SI1,61.1,56.0,4053,131.539668
1.0,Good,F,SI2,61.8,58.0,4053,166.24893600000001
0.94,Fair,F,SI1,56.8,67.0,4053,155.889216
1.17,Good,J,SI1,63.9,55.0,4054,191.83730400000002
0.9,Very Good,E,SI1,61.8,60.0,4054,145.03907999999998
0.9,Very Good,E,SI1,62.2,60.0,4054,145.094954
0.9,Very Good,F,SI1,59.8,54.0,4054,148.51999999999998
0.9,Very Good,F,SI1,63.3,57.0,4054,145.79488
0.91,Very Good,F,SI2,60.9,58.0,4054,147.9568
1.03,Ideal,J,SI2,62.4,56.0,4054,168.17673600000003
0.9,Ideal,F,SI1,62.5,56.0,4054,145.001472
0.88,Ideal,F,SI1,62.3,53.0,4054,143.77716
0.9,Good,G,VS2,62.1,59.0,4054,140.17449599999998
0.9,Good,E,SI1,62.4,62.0,4054,145.236864
1.01,Premium,E,SI2,62.8,57.0,4054,163.478076
1.11,Fair,J,SI2,64.8,55.1,4056,177.58622
1.02,Premium,F,SI2,61.1,62.0,4057,168.929508
1.06,Very Good,G,SI2,63.4,61.0,4057,167.481314
0.9,Fair,E,VS2,65.0,55.0,4057,145.77238000000003
1.22,Very Good,J,SI2,62.2,60.0,4058,198.24252499999997
1.24,Fair,G,SI2,65.7,57.0,4058,197.51424
0.9,Very Good,G,SI1,62.7,59.0,4059,145.37753999999998
1.04,Ideal,J,SI1,60.8,57.0,4059,171.963414
0.9,Ideal,G,SI1,62.4,57.0,4059,146.56372500000003
0.96,Premium,G,SI2,61.1,59.0,4059,152.80496000000002
1.03,Very Good,G,SI2,63.1,58.0,4060,164.55175100000002
1.01,Good,G,SI2,63.7,59.0,4060,162.64151199999998
0.96,Very Good,D,SI2,60.0,60.0,4060,161.000127
1.25,Very Good,H,SI2,63.5,57.0,4060,190.20662500000003
1.06,Good,H,SI1,57.2,60.0,4060,178.87420799999998
1.02,Premium,I,SI2,62.2,58.0,4061,161.847372
0.9,Good,F,SI1,63.9,59.0,4062,143.192952
0.9,Premium,F,SI1,60.4,59.0,4062,151.458168
0.9,Very Good,E,VS2,61.1,63.0,4062,144.60011999999998
0.89,Ideal,G,VVS2,61.7,55.0,4062,147.461894
0.93,Premium,G,SI1,61.0,59.0,4062,153.28852
0.9,Premium,E,VS2,62.3,55.0,4062,145.709568
0.97,Premium,F,SI2,61.9,58.0,4063,157.06851999999998
0.97,Very Good,F,SI2,59.9,59.0,4063,158.01984000000002
0.97,Fair,F,SI1,56.4,66.0,4063,159.46482
0.9,Premium,H,VS1,61.8,56.0,4064,145.042128
0.9,Very Good,H,VS2,62.1,60.0,4064,144.70924000000002
1.01,Very Good,D,SI2,62.9,59.0,4064,159.46785400000002
1.01,Good,G,SI1,63.1,55.0,4064,159.369777
1.01,Very Good,G,SI1,62.3,59.0,4064,159.92776800000001
0.96,Very Good,H,SI1,63.1,58.0,4064,152.2875
0.9,Premium,H,VS1,63.0,59.0,4064,143.96305
1.12,Premium,J,SI1,62.3,57.0,4064,184.33968000000004
1.12,Premium,J,SI1,62.7,55.0,4064,182.85904000000002
1.44,Premium,J,SI2,58.2,58.0,4064,233.017785
0.9,Ideal,H,VS1,61.2,57.0,4064,150.08697600000002
0.9,Premium,H,VS1,61.5,59.0,4064,143.810413
1.12,Premium,H,SI2,62.4,58.0,4065,179.736648
1.1,Good,E,SI2,63.3,56.0,4065,178.31471000000005
0.92,Ideal,F,SI2,62.0,54.0,4065,154.29648
1.0,Good,D,SI2,64.3,59.0,4065,157.27445999999998
0.91,Very Good,H,VS1,61.7,56.0,4066,149.66875000000002
0.91,Very Good,H,VS1,62.7,63.0,4066,139.7754
1.12,Very Good,J,SI2,58.5,60.0,4066,188.705387
1.1,Very Good,G,SI2,63.4,56.0,4066,178.04496
0.91,Ideal,D,SI2,62.6,54.0,4067,151.61249999999998
0.91,Good,F,SI1,58.0,57.0,4067,153.075024
0.9,Very Good,D,SI1,62.4,63.0,4068,146.32694999999998
0.9,Very Good,D,SI1,61.8,61.0,4068,145.89344
0.9,Very Good,D,SI1,62.5,63.0,4068,143.68398200000001
0.9,Very Good,D,SI1,61.1,63.0,4068,144.83334599999998
0.9,Good,D,SI1,63.2,62.0,4068,143.01903
0.9,Very Good,D,SI1,62.8,59.0,4068,141.21011999999996
0.92,Ideal,G,SI2,62.4,56.0,4068,150.11060400000002
0.95,Ideal,E,SI2,62.2,56.0,4068,155.82392
0.84,Ideal,E,SI1,61.7,53.0,4068,139.679488
0.8,Ideal,F,VS1,62.8,56.0,4070,131.384028
0.95,Premium,E,SI2,60.7,59.0,4070,153.86112
1.03,Premium,E,SI2,58.8,62.0,4070,164.91783
1.1,Ideal,E,SI2,59.4,54.0,4071,183.973692
1.18,Good,E,SI2,63.6,57.0,4071,193.853184
1.12,Premium,D,SI2,61.2,59.0,4071,182.50397999999998
1.01,Premium,I,SI1,61.8,58.0,4072,162.70254
1.01,Premium,G,SI1,60.2,58.0,4072,162.33436800000004
1.01,Very Good,F,SI2,63.1,57.0,4072,160.524
1.01,Premium,D,SI2,61.7,59.0,4072,160.876898
0.9,Ideal,H,VS2,62.7,57.0,4072,145.143075
0.9,Good,H,VS1,60.6,61.0,4072,141.53373100000002
1.01,Premium,H,SI2,59.4,59.0,4072,166.635152
1.01,Good,H,SI2,63.7,55.0,4072,162.643936
1.01,Fair,G,VS2,65.7,54.0,4072,164.314944
1.01,Very Good,I,SI1,63.4,62.0,4072,152.1825
1.01,Premium,F,SI2,62.0,59.0,4072,167.340107
1.01,Good,F,SI2,63.6,59.0,4072,163.41476799999998
1.01,Premium,I,SI2,60.5,60.0,4072,166.97719999999998
1.01,Premium,I,SI1,58.6,62.0,4072,159.56009999999998
0.93,Premium,I,VS2,62.7,61.0,4073,148.656768
1.11,Ideal,J,SI2,62.5,57.0,4073,181.43135999999998
0.9,Very Good,F,SI1,61.6,58.0,4074,145.965672
0.99,Premium,F,SI2,60.6,61.0,4075,160.07739
1.07,Premium,I,SI1,58.4,60.0,4075,177.991272
1.11,Very Good,I,SI2,63.1,57.0,4075,178.42820399999997
1.0,Ideal,E,SI2,62.3,57.0,4077,156.226932
0.91,Ideal,E,VS2,62.1,55.0,4077,144.716116
0.92,Premium,H,VS2,61.3,58.0,4077,148.500972
1.01,Good,F,SI2,56.9,60.0,4077,168.10620799999998
1.0,Good,E,SI2,61.5,64.0,4077,150.62662999999998
0.9,Ideal,G,SI2,60.6,55.0,4077,151.612362
1.0,Premium,E,SI2,60.5,61.0,4077,154.58995199999998
1.12,Premium,H,SI2,61.0,59.0,4077,182.60121600000002
1.0,Premium,E,SI2,59.1,61.0,4077,155.964564
1.0,Very Good,E,SI2,59.5,63.0,4077,158.840441
1.0,Ideal,E,SI2,60.7,55.0,4077,156.13198199999997
1.12,Premium,H,SI2,61.0,56.0,4077,180.79754
1.0,Premium,E,SI2,62.6,56.0,4077,164.761677
1.04,Ideal,H,SI2,59.6,56.0,4077,172.40494399999997
1.04,Ideal,H,SI2,62.2,56.0,4077,170.426592
1.12,Premium,I,SI1,61.3,58.0,4077,183.22572
1.0,Premium,E,SI2,62.0,59.0,4077,160.01055
1.0,Premium,I,VS1,60.6,58.0,4077,161.4912
1.0,Fair,E,SI2,64.6,60.0,4077,154.390614
0.9,Good,D,SI2,64.0,59.0,4078,142.720368
0.9,Very Good,D,SI2,62.9,56.0,4078,145.510806
0.9,Ideal,D,SI2,62.4,56.0,4078,148.756608
1.03,Premium,H,SI2,60.7,59.0,4078,167.39784000000003
1.03,Ideal,I,SI1,61.3,56.0,4078,169.09500300000002
1.03,Premium,H,SI2,62.3,59.0,4078,166.30753199999998
1.09,Very Good,I,SI2,63.8,57.0,4078,177.112
1.01,Ideal,H,SI2,60.7,59.0,4078,163.58747999999997
1.01,Ideal,H,SI2,61.3,59.0,4078,166.70030000000003
0.97,Ideal,E,SI2,62.3,56.0,4078,156.226932
1.06,Premium,E,SI1,59.2,60.0,4078,171.79008
1.02,Premium,G,SI2,58.1,58.0,4078,168.97110999999998
1.19,Premium,G,SI2,62.4,59.0,4078,189.94668000000001
1.01,Good,G,SI2,63.5,58.0,4079,163.670904
1.01,Ideal,G,SI2,59.5,57.0,4079,169.03086399999998
0.9,Premium,G,VS2,60.6,61.0,4079,141.53373100000002
1.0,Very Good,I,SI2,60.7,59.0,4080,161.2416
0.91,Very Good,G,SI1,63.5,58.0,4081,143.75502
0.9,Very Good,G,VS2,63.5,62.0,4081,143.529399
1.0,Very Good,F,SI2,62.8,57.0,4081,164.911656
1.0,Good,I,VS2,62.6,59.0,4081,157.02198
1.0,Very Good,F,SI2,62.9,59.0,4081,160.62543
1.0,Very Good,F,SI2,62.6,58.0,4081,159.572959
1.0,Good,F,SI2,63.8,58.0,4081,159.804648
1.0,Good,F,SI2,62.7,57.0,4081,157.919256
0.93,Very Good,F,SI1,58.8,60.0,4081,156.270114
0.93,Premium,F,SI1,62.5,58.0,4081,149.386984
0.91,Very Good,F,SI2,60.6,56.0,4081,150.49881
1.0,Good,H,SI2,63.0,56.0,4081,161.03119999999998
0.9,Very Good,H,VS2,63.3,59.0,4082,138.89710999999997
1.0,Very Good,F,SI2,60.2,59.0,4082,161.16278400000002
0.74,Ideal,E,VVS2,62.2,57.0,4082,121.647614
0.72,Ideal,D,VS2,61.8,56.0,4082,118.110832
0.72,Ideal,D,VS2,61.0,55.0,4082,119.085246
0.9,Premium,H,VS2,61.8,58.0,4082,143.48951999999997
0.9,Premium,H,VS2,61.3,59.0,4082,147.16353600000002
0.9,Premium,H,VS2,62.7,59.0,4082,144.0576
0.9,Premium,H,VS2,62.0,57.0,4082,142.7888
0.9,Premium,H,VS2,61.8,56.0,4082,148.32
0.9,Premium,H,VS2,60.7,58.0,4082,144.06703199999998
1.35,Premium,J,SI1,62.1,54.0,4082,224.06527
1.1,Very Good,I,SI2,62.8,57.0,4083,180.06019199999997
1.12,Premium,G,SI2,61.2,58.0,4084,182.505207
1.04,Very Good,G,SI2,60.3,62.0,4084,168.0016
1.02,Very Good,I,SI2,62.6,56.0,4084,165.947208
0.64,Ideal,D,VVS1,61.8,54.0,4084,105.652232
1.1,Good,G,SI2,64.2,56.0,4084,178.663695
1.11,Very Good,J,SI1,63.3,61.0,4084,175.832272
1.28,Good,H,SI2,56.8,62.0,4086,210.916416
0.8,Ideal,E,VS1,62.1,56.0,4086,130.413456
0.92,Good,D,SI1,63.6,57.0,4086,145.457214
1.0,Good,H,SI1,56.8,65.0,4086,159.58390800000004
0.81,Ideal,D,VS2,62.1,56.0,4087,133.696056
1.0,Very Good,F,SI1,63.2,54.0,4088,155.42604
1.0,Premium,H,SI2,58.6,59.0,4088,163.56015
0.9,Ideal,G,SI1,62.1,56.0,4088,146.65728
1.0,Premium,H,SI2,63.0,61.0,4088,159.873315
1.0,Very Good,I,SI1,63.2,56.0,4088,161.18074699999997
0.9,Very Good,I,VS2,61.4,58.0,4089,148.89125
1.01,Premium,E,SI2,60.8,58.0,4089,165.186076
0.85,Ideal,E,SI1,63.0,56.0,4089,137.3496
0.92,Good,G,SI1,60.6,60.0,4089,151.855696
1.09,Premium,I,SI1,62.0,58.0,4090,176.64767999999998
1.09,Premium,I,VS2,59.0,61.0,4090,182.1447
0.9,Ideal,E,SI2,62.7,54.0,4091,147.320451
1.17,Premium,F,SI2,59.9,59.0,4092,191.81932
1.06,Ideal,I,SI2,61.3,56.0,4092,173.952935
0.79,Ideal,I,VVS2,61.7,56.0,4092,129.70881
1.11,Ideal,J,SI2,61.7,57.0,4092,182.297817
0.9,Very Good,E,SI1,63.1,61.0,4092,147.606828
0.9,Premium,E,SI1,59.8,58.0,4092,145.002258
0.9,Ideal,E,SI1,63.0,56.0,4092,144.8079
0.9,Premium,E,SI1,62.7,62.0,4092,146.0767
0.9,Very Good,E,SI1,63.1,60.0,4092,147.606828
0.9,Good,G,VS2,63.6,59.0,4093,142.21784
0.9,Very Good,G,VS2,59.6,61.0,4093,143.7625
1.02,Good,H,SI1,57.1,61.0,4093,165.398436
0.9,Ideal,I,VS1,61.3,55.0,4093,148.26375
1.13,Premium,J,SI2,59.7,59.0,4093,188.00235999999998
1.08,Ideal,J,VS2,62.3,56.0,4093,176.27082
0.72,Ideal,E,VVS2,62.0,54.9,4094,118.64895
1.0,Premium,G,SI2,62.7,59.0,4095,159.06996
0.7,Very Good,D,VS1,60.3,58.0,4095,116.059392
1.03,Good,F,SI2,57.7,63.0,4095,170.32396799999998
1.03,Ideal,E,SI2,62.0,55.0,4095,166.4096
0.91,Ideal,H,SI1,61.6,56.0,4096,149.04
1.11,Premium,G,SI1,60.9,59.0,4096,180.79591200000002
0.92,Premium,D,SI2,62.4,58.0,4096,147.66121199999998
0.92,Premium,D,SI2,62.4,60.0,4096,150.980625
1.5,Premium,F,I1,62.6,57.0,4096,240.464315
1.06,Premium,I,SI2,60.9,58.0,4096,173.61695999999995
0.95,Very Good,J,VVS2,60.5,59.0,4098,154.593792
0.94,Premium,E,SI2,62.4,58.0,4098,155.72939399999998
1.08,Premium,J,SI1,61.0,60.0,4098,174.84346799999997
1.23,Ideal,H,I1,61.8,56.0,4098,201.167375
0.9,Very Good,I,VVS1,61.3,59.0,4099,144.98265999999998
1.01,Ideal,J,SI2,61.9,55.3,4099,167.59795
0.9,Very Good,F,SI1,62.8,59.0,4099,144.6676
1.22,Fair,I,SI1,66.2,60.0,4099,189.05657600000004
1.2,Ideal,J,VS2,61.6,54.0,4099,198.00915199999997
1.03,Very Good,H,SI2,60.9,57.0,4101,170.2246
1.11,Ideal,J,SI2,62.6,54.0,4101,182.14516
0.9,Ideal,H,SI2,61.8,57.0,4101,145.894586
0.9,Ideal,H,SI2,61.8,56.0,4101,146.13028
0.9,Ideal,H,SI2,61.9,55.0,4101,147.609216
1.03,Good,F,SI2,61.7,63.0,4101,168.2184
0.97,Ideal,G,SI2,62.7,57.0,4101,156.52586
0.97,Premium,G,SI2,61.3,57.0,4101,156.605176
1.11,Very Good,E,SI2,61.6,61.0,4102,180.052434
1.11,Very Good,E,SI2,61.7,63.0,4102,177.00837
1.2,Very Good,J,SI2,61.8,56.0,4102,196.85666999999995
0.31,Premium,G,SI2,60.3,59.0,408,49.99498499999999
0.31,Very Good,I,SI1,60.7,60.0,408,49.954344000000006
0.31,Premium,I,SI1,62.3,59.0,408,49.66790400000001
0.31,Premium,G,SI2,61.3,58.0,408,51.72332
0.31,Ideal,G,SI2,61.7,56.0,408,51.134748
0.31,Good,I,SI1,63.3,53.0,408,50.71248
0.31,Ideal,G,SI2,60.5,57.0,408,50.83760000000001
0.31,Good,I,SI1,63.8,55.0,408,51.62690399999999
0.31,Good,G,SI2,63.3,54.0,408,50.828778
0.32,Ideal,J,VS2,61.5,53.0,409,54.38023200000001
0.35,Good,J,SI1,63.3,56.0,409,58.301100000000005
0.25,Very Good,E,VS2,59.7,61.0,409,40.81632
0.3,Premium,H,SI2,60.2,62.0,410,49.69039600000001
0.25,Very Good,D,VS1,62.1,60.0,410,40.966964999999995
0.36,Premium,J,SI1,61.6,60.0,410,58.428892
0.3,Ideal,J,VS1,62.0,57.0,411,48.954640000000005
0.3,Ideal,J,VS1,62.2,57.0,411,48.613096000000006
0.23,Premium,D,VS2,58.5,61.0,411,37.97318
0.24,Very Good,E,VS1,62.5,55.0,412,39.086784
0.27,Ideal,I,VVS2,62.0,54.5,412,44.862330000000014
0.31,Good,J,VS1,61.9,61.0,412,49.711662000000004
0.27,Very Good,E,VS1,60.6,59.0,413,45.088589999999996
0.27,Very Good,D,VS1,62.2,58.0,413,44.326980000000006
0.3,Very Good,G,SI1,60.1,58.0,413,48.63403999999999
0.3,Very Good,D,SI2,62.3,58.0,413,48.49924800000001
0.3,Ideal,J,VVS2,62.0,54.0,413,50.01416
0.32,Ideal,J,VS2,62.3,55.3,413,51.824704000000004
0.34,Ideal,J,VS1,61.9,55.0,413,57.20399999999999
0.33,Ideal,F,SI2,61.4,57.0,413,54.501888000000015
0.3,Ideal,D,SI2,61.1,58.0,413,49.268471999999996
0.23,Very Good,D,VS2,60.2,57.0,577,39.758202000000004
0.3,Ideal,H,VVS2,61.0,55.0,577,49.799330000000005
0.31,Ideal,G,VS2,62.1,55.0,577,51.63362999999999
0.27,Ideal,F,VS2,60.9,57.0,577,44.6607
0.27,Ideal,F,VS2,60.3,56.0,577,46.348288
0.27,Ideal,E,VS2,61.0,55.0,577,44.943360000000006
0.27,Ideal,F,VS1,61.7,57.0,577,44.58179
0.27,Ideal,E,VS1,60.5,56.0,577,45.30380999999999
0.25,Ideal,H,VVS1,62.5,56.0,577,41.39535399999999
0.25,Premium,H,VVS1,59.8,59.0,577,40.616972
0.25,Premium,H,VVS1,60.1,62.0,577,41.251248000000004
0.25,Premium,H,VVS1,62.7,60.0,577,40.258894
0.33,Premium,F,VS2,60.0,60.0,577,53.54774000000001
0.31,Very Good,H,VVS2,62.6,56.0,578,51.350336000000006
0.31,Very Good,H,VVS2,61.2,55.0,578,52.86708000000001
0.26,Ideal,I,VS1,61.6,54.0,578,42.528287999999996
0.3,Very Good,E,VS1,61.5,57.0,578,48.699552000000004
0.4,Very Good,F,SI2,62.6,53.0,579,66.082
0.4,Very Good,F,SI2,62.1,57.0,579,65.27454000000002
0.36,Ideal,G,VS2,62.3,54.0,579,60.860646
0.31,Fair,E,SI1,56.9,66.0,579,51.837695999999994
0.33,Premium,E,SI1,60.4,59.0,579,53.267649
0.33,Ideal,G,VS2,62.2,56.0,579,54.286992
0.33,Very Good,G,VS2,60.6,61.0,579,54.268834000000005
0.33,Good,E,SI1,63.4,55.0,579,53.45384
0.33,Very Good,E,SI1,60.2,58.0,579,55.56824
0.33,Good,E,SI1,63.8,55.0,579,53.280072000000004
0.33,Very Good,E,SI1,60.3,60.0,579,54.18981
0.33,Premium,G,VS2,61.3,59.0,579,54.06055200000001
0.33,Ideal,H,VS1,61.5,56.0,579,54.38023200000001
1.0,Good,F,SI2,65.7,62.0,4102,155.05749
1.01,Fair,G,SI1,66.9,56.0,4102,158.36741999999998
1.09,Premium,E,SI2,60.1,62.0,4102,177.408
1.02,Premium,H,SI1,61.8,56.0,4102,165.318852
0.9,Ideal,F,SI1,62.3,56.0,4103,144.858643
0.9,Premium,F,SI1,62.6,60.0,4103,141.071346
1.06,Ideal,I,SI2,61.9,59.0,4103,169.58128799999997
0.9,Very Good,F,SI1,63.1,56.0,4103,146.51035199999998
0.91,Very Good,G,VS2,64.0,56.6,4105,146.81771999999998
1.07,Premium,J,SI2,62.4,58.0,4105,171.794028
1.2,Ideal,J,VS2,62.2,54.0,4106,197.21088
0.9,Premium,E,SI1,61.1,58.0,4106,148.350732
1.01,Good,E,SI1,64.3,59.0,4106,160.48853999999997
0.94,Premium,G,SI1,61.9,57.0,4106,152.288448
1.01,Fair,E,SI1,65.6,59.0,4106,156.449172
1.3,Very Good,J,VS2,63.3,57.0,4106,214.241328
1.0,Very Good,I,SI2,62.6,57.0,4107,163.072
0.91,Fair,D,VS2,65.7,56.0,4107,147.25095
0.91,Fair,D,VS2,65.7,58.0,4107,142.90942
0.91,Ideal,F,SI1,60.2,57.0,4108,151.53868
0.91,Very Good,F,SI1,62.2,57.0,4108,149.720625
0.87,Ideal,D,SI1,62.6,56.0,4108,144.052224
0.9,Good,G,VS1,65.8,59.0,4108,143.5104
0.91,Ideal,H,VS1,62.9,55.0,4109,148.55871100000002
0.93,Very Good,G,SI1,61.5,57.0,4111,152.222574
0.81,Ideal,H,IF,61.6,58.0,4111,132.617862
1.05,Very Good,H,SI2,63.8,58.0,4112,168.30759
1.02,Premium,H,SI2,60.9,58.0,4113,164.917762
0.91,Good,D,SI1,63.1,61.0,4113,145.41912
1.09,Very Good,F,SI2,58.5,59.0,4113,181.76399999999998
0.93,Very Good,E,SI2,62.5,58.0,4113,150.739056
1.0,Good,G,SI2,57.6,62.0,4113,164.33819
0.82,Ideal,D,SI1,61.9,56.0,4113,134.14245599999998
1.13,Fair,H,SI2,64.4,58.0,4113,181.041798
1.02,Premium,H,SI2,61.1,61.0,4113,167.473656
1.13,Premium,I,SI1,61.7,58.0,4113,180.76572
